campaign,payment_country,region,tenure,metric,result
2019,us,Other,Retained,comment,
2019,us,Other,Retained,regos_total_curnt,51779
2019,us,Other,Returned,regos,2565
2019,us,Other,Returned,active,881
2019,us,Other,Returned,apam,258.74
2019,us,Other,Returned,funds,227946.85
2019,us,Other,Returned,comment,
2019,us,Other,Team,donations,4775
2019,us,Other,Team,atdd,698.71
2019,us,Other,Team,funds,3336348.72
2019,us,Other,Team,comment,
